dose,filter,filename,snr,cnr,precision,recall,dice,exec_time_s
0.1,unet,86.png,5.729143998449866,0.18221791027383433,0.52023337571956,0.7711497948766258,0.6213149901733072,0.5011646000202745
0.1,unet,88.png,4.946140565240354,0.13809786409876995,0.7262705530635964,0.6202824543200987,0.6691053061927099,0.5388787999982014
0.1,unet,89.png,4.350620783583198,0.6641590681388639,0.37673729778950016,0.5383363177591758,0.44326787748810403,0.4770894000539556
0.1,unet,9.png,4.36149380210111,0.475977946294236,0.559962228516714,0.8724253888169978,0.6821132199490593,0.48228779999772087
0.1,unet,90.png,3.4115230286401066,0.6638095485732776,0.5083351374750937,0.546046511627272,0.5265164256082521,0.496857899997849
0.1,unet,91.png,8.15379814919684,1.2059922538270325,0.4630494142513317,0.5356633380878992,0.49671658714036,0.6742234000121243
0.1,unet,92.png,5.4158684406012165,1.3025459904838583,0.5725441541376641,0.6946781191882628,0.6277255451090218,0.49621739995200187
0.1,unet,93.png,6.263969982346554,0.9230044893901898,0.4425303389590999,0.49094707520853376,0.46548309001540605,0.5125856000231579
0.1,unet,94.png,6.1576496157022955,0.18844121786064147,0.5316747884066021,0.376737846433097,0.4409934584906664,0.49838599999202415
0.1,unet,95.png,5.140428143924595,0.27577177406897974,0.4103874859417131,0.4337583747563931,0.42174940898345153,0.4753076999913901
0.1,unet,96.png,3.8964558416934416,1.0565989023377755,0.2764242535257805,0.24389849684783596,0.25914477073673364,0.4971177999977954
0.1,unet,97.png,4.565424091012616,0.07179109387784942,0.5171855541715334,0.5363207851743163,0.5265793894823596,0.49707910005236045
0.1,unet,98.png,4.905206803812147,0.02441437603792913,0.4161434977574743,0.7098057212777883,0.5246791428732968,0.49140950001310557
0.1,unet,99.png,5.580856598043588,1.2157045875165,0.5793891909173493,0.6602587463550835,0.6171861693067621,0.4859711000462994
0.05,original,1.png,2.311552025997058,0.47107127450093045,0.3274628508529158,0.7349168646073777,0.4530545305453055,0.0030081000295467675
0.05,original,10.png,2.1611871653999315,0.09233200428248807,0.16768860602290914,0.6670268601409894,0.26800223283508035,0.00015460001304745674
0.05,original,100.png,2.458588430768736,0.32379632062597086,0.20364911162451768,0.6723956506483054,0.31261593656358927,0.00019019999308511615
